index;barcode;title;author;isbn;complete_edition;date_of_publication;keep
153;EM000008709912;Steuerrecht 2018 DBG, StHG, VStG, StG, MWSTG, OECD-MA, StG ZH : mit Verordnungen, Kreisschreiben, Merkblättern, Rundschreiben und diversen Service-Seiten : Textausgabe mit Querverweisen, Sachregister und Anmerkungen;Schweiz;9783725577804;Stand: 1. Januar 2018;2018;
154;EM000009228312;Steuerrecht 2021 DBG, StHG, VStG, StG, MWSTG, OECD-MA, StG ZH : mit Verordnungen, Kreisschreiben, Merkblättern, Rundschreiben und diversen Service-Seiten : Textausgabe mit Querverweisen, Sachregister und Anmerkungen;Schweiz;9783725582303;Stand: 1. Januar 2021;2021;
155;EM000009415788;Steuerrecht 2022 DBG, StHG, VStG, StG, MWSTG, OECD-MA, StG ZH : mit Verordnungen, Kreisschreiben, Merkblättern, Rundschreiben und diversen Service-Seiten : Textausgabe mit Querverweisen, Sachregister und Anmerkungen;Schweiz;9783725583799;Stand: 1. Januar 2022;2022;
156;EM000009227080;Steuerrecht 2023 DBG, StHG, VStG, StG, MWSTG, OECD-MA, StG ZH : mit Verordnungen, Kreisschreiben, Merkblättern, Rundschreiben und diversen Service-Seiten : Textausgabe mit Querverweisen, Sachregister und Anmerkungen;Suisse;9783725597086;Stand: 1. Januar 2023;2023;
157;EM000007999203;Der Steuerentscheid StE : Sammlung aktueller steuerrechtlicher Entscheide;Zuppinger, Ferdinand;'isbn';;1984;x
158;EM000006331399;Der Steuerentscheid StE : Sammlung aktueller steuerrechtlicher Entscheide;Zuppinger, Ferdinand;'isbn';;1984;x
159;EM000006330349;Der Steuerentscheid StE : Sammlung aktueller steuerrechtlicher Entscheide;Zuppinger, Ferdinand;'isbn';;1984;x
160;EM000005848271;Der Steuerentscheid StE : Sammlung aktueller steuerrechtlicher Entscheide;Zuppinger, Ferdinand;'isbn';;1984;x
161;EM000005845553;Der Steuerentscheid StE : Sammlung aktueller steuerrechtlicher Entscheide;Zuppinger, Ferdinand;'isbn';;1984;x
162;EM000008190078;Der Steuerentscheid StE : Sammlung aktueller steuerrechtlicher Entscheide;Zuppinger, Ferdinand;'isbn';;1984;x
163;EM000007996669;Der Steuerentscheid StE : Sammlung aktueller steuerrechtlicher Entscheide;Zuppinger, Ferdinand;'isbn';;1984;x
164;EM000007999206;Der Steuerentscheid StE : Sammlung aktueller steuerrechtlicher Entscheide;Zuppinger, Ferdinand;'isbn';;1984;x
165;EM000007999205;Der Steuerentscheid StE : Sammlung aktueller steuerrechtlicher Entscheide;Zuppinger, Ferdinand;'isbn';;1984;x
166;EM000007999204;Der Steuerentscheid StE : Sammlung aktueller steuerrechtlicher Entscheide;Zuppinger, Ferdinand;'isbn';;1984;x
167;EM000009227327;Die Steuergesetze des Bundes Edition Zürich (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze und der steuerrechtlichen Gesetzgebung des Kantons Zürich;Schweiz;9783906842769;Edition Zürich, Ausgabe 2023, 23. Auflage, aktueller Stand: 14.1.2023;2023;
168;EM000009227338;Die Steuergesetze des Bundes (inkl. OECD-Musterabkommen);Schweiz;9783906842752;Ausgabe 2023, 24. Auflage, aktueller Stand: 14. Januar 2023;2023;
169;EM000009415726;Die Steuergesetze des Bundes Edition Zürich (inkl. OECD-Musterabkommen) : Kompaktsammlung schweizerischer Bundessteuergesetze und der steuerrechtlichen Gesetzgebung des Kantons Zürich;Schweiz;9783906842677;Edition Zürich, Ausgabe 2022, 22. Auflage, aktueller Stand: 14.1.2022;2022;
