;barcode;mms id
297;UM633728;990057385880205510
298;UM519388;990057341810205510
299;UM519001;990042448160205510
300;UM1011306;990099249460205510
301;UM519415;990002492610205510
302;UM582167;990017536000205510
303;UM1005361;990057391390205510
304;UM582546;990006991760205510
305;UM519380;990008905490205510
306;UM518676;990057331510205510
307;UM518687;990006991720205510
308;UM633729;990054524880205510
309;UM519241;990016690570205510
310;UM521238;990042815670205510
311;UM1006208;990060792550205510
312;UM1005630;990057924010205510
313;UM519255;990019543580205510
314;UM633726;990057385900205510
315;UM1009661;990065104650205510
316;UM1015164;990099420950205510
317;UM518872;990010747100205510
318;UM1013913;990076359630205510
319;UM519653;990017793430205510
320;UM519648;990014598510205510
321;UM519655;990009261330205510
322;UM519514;990045247990205510
323;UM519498;990057366170205510
324;UM519177;990015969920205510
325;UM519243;990017972470205510
326;UM519663;990038370680205510
327;UM1008569;990059272460205510
328;UM1004347;990058126290205510
329;UM519606;990019639090205510
330;UM634901;990049262320205510
331;UM514865;990057346130205510
332;UM518947;990017420160205510
333;UM634077;990042356410205510
334;UM519611;990038582650205510
335;UM519124;990057357510205510
336;UM519138;990058742510205510
337;UM519137;990057335710205510
338;UM519139;990058742530205510
339;EM000008201143;990104693600205510
340;UM582015;990057373400205510
341;UM1015607;990103532590205510
342;UM1012086;990064637100205510
343;UM584261;990043351020205510
344;UM519122;990057357500205510
345;UM523532;990038422030205510
346;UM519612;990017120220205510
347;UM519526;990013725980205510
348;UM582115;990017561550205510
349;UM521631;990019552110205510
350;UM519299;990012158280205510
351;EM000008201986;990106986360205510
352;UM582650;990057374530205510
353;UM519543;990057333860205510
354;EM000008201095;990103765540205510
355;UM633721;990050514980205510
356;UM628524;990057378890205510
357;UM633741;990052211390205510
358;UM519747;990057354610205510
359;UM519748;990057354610205510
360;UM518972;990016128850205510
361;UM519591;990016941330205510
362;UM524138;990044529060205510
363;UM527961;990057371240205510
364;UM579117;990057371460205510
365;EM000008202580;990104534540205510
366;UM1011659;990058253120205510
367;UM1011660;990058253120205510
368;UM1011661;990058253120205510
369;UM1010291;990072175870205510
370;EM000008203077;990111301890205510
371;UM518300;990038810220205510
372;UM634001;990054860590205510
373;UM518292;990057356590205510
374;UM518273;990057350520205510
375;UM518341;990057353710205510
376;UM518289;990057340490205510
377;UM520810;990010916340205510
378;UM629333;990016045750205510
379;UM1013083;990066770050205510
380;UM522190;990005098470205510
381;UM518465;990006078970205510
382;UM518290;990057352130205510
383;UM1005360;990057391460205510
384;UM518681;990011644480205510
385;UM518265;990057328690205510
386;UM1004161;990019995970205510
387;UM518484;990057344430205510
388;EM000008205464;990057383320205510
389;UM1015716;990105312570205510
390;UM1015717;990105312570205510
391;UM1015715;990105312580205510
392;UM586657;990057379400205510
393;UM579035;990057371320205510
394;UM518274;990011421870205510
395;UM523558;990057349550205510
396;UM518260;990057349680205510
397;UM516054;990045471720205510
398;UM525458;990008605960205510
399;UM525459;990008605960205510
400;UM630654;990057383100205510
401;UM518492;990057359540205510
402;UM518493;990046079970205510
403;UM1014080;990066771630205510
404;UM519099;990020191800205510
405;UM521298;990046102110205510
406;UM1009506;990064698600205510
407;UM519412;990016903640205510
408;UM633725;990057385910205510
409;UM519368;990058611090205510
410;UM519757;990058611090205510
411;UM524151;990057341860205510
412;UM519513;990057367080205510
413;UM586674;990057367080205510
414;UM518688;990013368460205510
415;UM518677;990057329930205510
416;UM518678;990008951570205510
417;UM519430;990057344350205510
418;UM519627;990044913690205510
419;UM1003591;990059960990205510
420;UM633722;990057385930205510
421;UM518684;990014292600205510
422;UM628759;990057379800205510
423;E97E1;'bib_data'
424;E97E1;'bib_data'
425;E97E1;'bib_data'
426;UM637261;990057391510205510
427;UM1003975;990064359430205510
428;UM634599;990046237450205510
429;EM000005533755;990051531590205510
430;UM524685;990038649430205510
431;UM1005373;990057391540205510
432;UM1006029;990060080840205510
433;UM1005631;990057924070205510
434;UM1009341;990063413950205510
435;UM586323;990047177870205510
436;UM1014617;990064662810205510
437;UM1005600;990057912440205510
438;UM1008926;990059909560205510
439;UM1005501;990044109460205510
440;UM1008139;990058181540205510
441;UM1006998;990062678310205510
442;UM1005817;990058324240205510
443;UM524322;990017807430205510
444;UM520687;990012998270205510
445;UM520644;990020213410205510
446;UM1003345;990059544040205510
447;UM520673;990004743230205510
448;EM000005531486;990040648170205510
449;UM520732;990020573560205510
450;UM520723;990051514490205510
451;UM513617;990045368980205510
452;UM584620;990057375510205510
453;UM634894;990049267180205510
454;EM000005533781;990051531830205510
455;EM000008679106;990107924540205510
456;E97E1;'bib_data'
457;UM1014610;990073602160205510
458;UM1012906;990074281630205510
459;UM586652;990057336140205510
460;UM633996;990057386570205510
461;UM1014848;990075894680205510
462;UM1015440;990101688630205510
463;UM1007971;990066471060205510
464;UM586458;990019753810205510
465;UM633156;990044600200205510
466;UM633157;990057384380205510
467;UM582924;990020247620205510
468;UM633158;990042414870205510
469;UM1008075;990057736910205510
470;UM633735;990045733830205510
471;UM633736;990046026900205510
472;UM1012584;990066981510205510
473;UM1014866;990075952040205510
474;UM1014343;990071421390205510
475;UM1015439;990101688460205510
476;UM1015681;990104264410205510
477;UM525837;990046370560205510
478;UM633159;990057384390205510
479;UM1012586;990067808210205510
480;UM633160;990057330870205510
481;UM520014;990017813550205510
482;UM519363;990057369090205510
483;UM519364;990057369090205510
484;UM519362;990057369080205510
485;UM628541;990057369100205510
486;UM579916;990057373080205510
487;UM582700;990057374920205510
488;UM1007969;990065927790205510
489;UM520013;990017852320205510
